species,cs_flux,carbon,growth
Agrobacterium tumefaciens,0.25,Succinate,0.03637933591613374
Alcaligenes faecalis,0.25,Succinate,0.028216454264707726
Delftia acidovorans,0.25,Succinate,0.0282168355636564
Pandoraea vervacti,0.25,Succinate,0.028217910437596652
Pantoea agglomerans,0.25,Succinate,0.02603739201951093
Pseudomonas asiatica,0.25,Succinate,0.026361857120823496
Pseudomonas delhiensis,0.25,Succinate,0.02649370205657147
Sphingomonas paucimobilis,0.25,Succinate,0.036379335916133904
Agrobacterium tumefaciens,0.5,Succinate,0.07275867183226803
Alcaligenes faecalis,0.5,Succinate,0.05643290852941545
Delftia acidovorans,0.5,Succinate,0.05643367112731304
Pandoraea vervacti,0.5,Succinate,0.056435820875193304
Pantoea agglomerans,0.5,Succinate,0.052074784039021924
Pseudomonas asiatica,0.5,Succinate,0.05272371424164699
Pseudomonas delhiensis,0.5,Succinate,0.05298740411314307
Sphingomonas paucimobilis,0.5,Succinate,0.07275867183226774
Agrobacterium tumefaciens,1.0,Succinate,0.14551734366453617
Alcaligenes faecalis,1.0,Succinate,0.1128658170588309
Delftia acidovorans,1.0,Succinate,0.11286734225462608
Pandoraea vervacti,1.0,Succinate,0.11287164175038661
Pantoea agglomerans,1.0,Succinate,0.10414956807804385
Pseudomonas asiatica,1.0,Succinate,0.10544742848329398
Pseudomonas delhiensis,1.0,Succinate,0.10597480822628616
Sphingomonas paucimobilis,1.0,Succinate,0.14551734366453548
Agrobacterium tumefaciens,4.0,Succinate,0.5820693746581422
Alcaligenes faecalis,4.0,Succinate,0.4514632682353236
Delftia acidovorans,4.0,Succinate,0.4514693690185043
Pandoraea vervacti,4.0,Succinate,0.45148656700154643
Pantoea agglomerans,4.0,Succinate,0.4165982723121754
Pseudomonas asiatica,4.0,Succinate,0.42178971393317594
Pseudomonas delhiensis,4.0,Succinate,0.42389923290514464
Sphingomonas paucimobilis,4.0,Succinate,0.5820693746581419
Agrobacterium tumefaciens,2.0,Succinate,0.2910346873290711
Alcaligenes faecalis,2.0,Succinate,0.2257316341176618
Delftia acidovorans,2.0,Succinate,0.22573468450925216
Pandoraea vervacti,2.0,Succinate,0.22574328350077322
Pantoea agglomerans,2.0,Succinate,0.2082991361560877
Pseudomonas asiatica,2.0,Succinate,0.21089485696658797
Pseudomonas delhiensis,2.0,Succinate,0.21194961645257232
Sphingomonas paucimobilis,2.0,Succinate,0.29103468732907095
Agrobacterium tumefaciens,8.0,Succinate,1.1641387493162845
Alcaligenes faecalis,8.0,Succinate,0.9029265364706472
Delftia acidovorans,8.0,Succinate,0.9029387380370086
Pandoraea vervacti,8.0,Succinate,0.9029731340030929
Pantoea agglomerans,8.0,Succinate,0.8331965446243508
Pseudomonas asiatica,8.0,Succinate,0.8435794278663519
Pseudomonas delhiensis,8.0,Succinate,0.8477984658102893
Sphingomonas paucimobilis,8.0,Succinate,1.1641387493162838
Agrobacterium tumefaciens,0.25,Alanine,0.03554733572611116
Alcaligenes faecalis,0.25,Alanine,0.03554586857614615
Delftia acidovorans,0.25,Alanine,0.035547169093102356
Pandoraea vervacti,0.25,Alanine,0.035547335726111184
Pantoea agglomerans,0.25,Alanine,0.03392255125945277
Pseudomonas asiatica,0.25,Alanine,0.034345277315231744
Pseudomonas delhiensis,0.25,Alanine,0.03451705014823496
Sphingomonas paucimobilis,0.25,Alanine,0.03554733572611122
Agrobacterium tumefaciens,0.5,Alanine,0.07109467145222235
Alcaligenes faecalis,0.5,Alanine,0.0710917371522923
Delftia acidovorans,0.5,Alanine,0.07109433818620434
Pandoraea vervacti,0.5,Alanine,0.07109467145222237
Pantoea agglomerans,0.5,Alanine,0.06784510251890546
Pseudomonas asiatica,0.5,Alanine,0.06869055463046349
Pseudomonas delhiensis,0.5,Alanine,0.06903410029646966
