species,carbon,number_nzfmtb_ca,cs_flux,growth,theta_rank,growthability
Agrobacterium tumefaciens,Succinate,273.0,0.25,0.03637933591613374,0,1
Agrobacterium tumefaciens,Alanine,272.0,0.25,0.03554733572611116,1,1
Agrobacterium tumefaciens,Glutamine,278.0,0.25,0.036117332008567676,2,0
Agrobacterium tumefaciens,Proline,288.0,0.25,0.04584545209530143,3,0
Agrobacterium tumefaciens,Acetate,287.0,0.25,0.03576007384642332,4,1
Agrobacterium tumefaciens,Mannitol,296.0,0.25,0.034768755995380554,5,1
Agrobacterium tumefaciens,Citrate,304.0,0.25,0.033490325287528204,6,0
Agrobacterium tumefaciens,Glucose,288.0,0.25,0.03515744288105008,7,1
Agrobacterium tumefaciens,Ribose,314.0,0.25,0.03515744288105028,8,1
Agrobacterium tumefaciens,Glycerol,276.0,0.25,0.034387889869692,9,1
Agrobacterium tumefaciens,Cellobiose,303.0,0.25,0.03700744539689444,10,1
Agrobacterium tumefaciens,Serine,285.0,0.25,0.03013523779464489,11,0
Agrobacterium tumefaciens,Isoleucine,289.0,0.25,0.04828714095965891,12,0
Agrobacterium tumefaciens,Sorbitol,285.0,0.25,0.03476875599538057,13,1
Agrobacterium tumefaciens,Uridine,,0.25,0.0,14,0
Agrobacterium tumefaciens,Raffinose,305.0,0.25,0.025112449244121662,15,0
Alcaligenes faecalis,Succinate,271.0,0.25,0.028216454264707726,0,1
Alcaligenes faecalis,Alanine,271.0,0.25,0.03554586857614615,1,1
Alcaligenes faecalis,Glutamine,266.0,0.25,0.03361588729818617,2,1
Alcaligenes faecalis,Proline,258.0,0.25,0.04267024902073252,3,1
Alcaligenes faecalis,Acetate,269.0,0.25,0.027736143686522965,4,1
Alcaligenes faecalis,Mannitol,290.0,0.25,0.032014314788371766,5,0
Alcaligenes faecalis,Citrate,272.0,0.25,0.025975686691043567,6,1
Alcaligenes faecalis,Glucose,280.0,0.25,0.03237220922421504,7,0
Alcaligenes faecalis,Ribose,276.0,0.25,0.03329712948776398,8,0
Alcaligenes faecalis,Glycerol,286.0,0.25,0.03438647057369164,9,0
Alcaligenes faecalis,Cellobiose,,0.25,0.0,10,0
Alcaligenes faecalis,Serine,284.0,0.25,0.030133994018925303,11,0
Alcaligenes faecalis,Isoleucine,267.0,0.25,0.037852195953525326,12,1
Alcaligenes faecalis,Sorbitol,264.0,0.25,0.03201431478837166,13,0
Alcaligenes faecalis,Uridine,,0.25,0.0,14,0
Alcaligenes faecalis,Raffinose,,0.25,0.0,15,0
Delftia acidovorans,Succinate,264.0,0.25,0.0282168355636564,0,1
Delftia acidovorans,Alanine,292.0,0.25,0.035547169093102356,1,1
Delftia acidovorans,Glutamine,264.0,0.25,0.03361634156158764,2,1
Delftia acidovorans,Proline,273.0,0.25,0.04267082563893345,3,1
Delftia acidovorans,Acetate,268.0,0.25,0.027736518494864554,4,1
Delftia acidovorans,Mannitol,272.0,0.25,0.03476859301207089,5,1
Delftia acidovorans,Citrate,272.0,0.25,0.025976037709705798,6,1
Delftia acidovorans,Glucose,281.0,0.25,0.03515727807571738,7,0
Delftia acidovorans,Ribose,,0.25,0.0,8,1
Delftia acidovorans,Glycerol,274.0,0.25,0.03438772867174443,9,1
Delftia acidovorans,Cellobiose,,0.25,0.0,10,0
Delftia acidovorans,Serine,281.0,0.25,0.030135096531586848,11,0
Delftia acidovorans,Isoleucine,281.0,0.25,0.03785271292458038,12,1
Delftia acidovorans,Sorbitol,300.0,0.25,0.03476859301207082,13,0
Delftia acidovorans,Uridine,,0.25,0.0,14,0
Delftia acidovorans,Raffinose,,0.25,0.0,15,0
Pandoraea vervacti,Succinate,282.0,0.25,0.028217910437596652,0,1
Pandoraea vervacti,Alanine,280.0,0.25,0.035547335726111184,1,1
Pandoraea vervacti,Glutamine,272.0,0.25,0.033617622120827646,2,1
Pandoraea vervacti,Proline,274.0,0.25,0.04267245111385172,3,1
Pandoraea vervacti,Acetate,275.0,0.25,0.02773757507191602,4,1
Pandoraea vervacti,Mannitol,280.0,0.25,0.03476875599538054,5,1
Pandoraea vervacti,Citrate,271.0,0.25,0.025977027224137327,6,1
Pandoraea vervacti,Glucose,267.0,0.25,0.0351574428810502,7,0
Pandoraea vervacti,Ribose,284.0,0.25,0.03515744288105032,8,1
Pandoraea vervacti,Glycerol,281.0,0.25,0.034387889869692025,9,1
Pandoraea vervacti,Cellobiose,285.0,0.25,0.03700744539689435,10,0
Pandoraea vervacti,Serine,272.0,0.25,0.030135237794645033,11,1
Pandoraea vervacti,Isoleucine,277.0,0.25,0.03785417025621726,12,1
Pandoraea vervacti,Sorbitol,298.0,0.25,0.034768755995380575,13,0
Pandoraea vervacti,Uridine,291.0,0.25,0.029413488713464588,14,0
Pandoraea vervacti,Raffinose,,0.25,0.0,15,0
Pantoea agglomerans,Succinate,265.0,0.25,0.02603739201951093,0,1
Pantoea agglomerans,Alanine,305.0,0.25,0.03392255125945277,1,1
Pantoea agglomerans,Glutamine,272.0,0.25,0.029593450399944182,2,1
Pantoea agglomerans,Proline,266.0,0.25,0.041355555031109506,3,1
Pantoea agglomerans,Acetate,267.0,0.25,0.02688157774803317,4,0
Pantoea agglomerans,Mannitol,275.0,0.25,0.03476707652562997,5,1
Pantoea agglomerans,Citrate,280.0,0.25,0.022867467066305006,6,1
Pantoea agglomerans,Glucose,272.0,0.25,0.03355047949226943,7,1
Pantoea agglomerans,Ribose,276.0,0.25,0.03355047949226934,8,1
Pantoea agglomerans,Glycerol,273.0,0.25,0.034386228797296005,9,1
Pantoea agglomerans,Cellobiose,278.0,0.25,0.035315922777734696,10,1
Pantoea agglomerans,Serine,268.0,0.25,0.023964856247856152,11,0
Pantoea agglomerans,Isoleucine,271.0,0.25,0.012482863591596147,12,0
Pantoea agglomerans,Sorbitol,269.0,0.25,0.03476707652562999,13,1
Pantoea agglomerans,Uridine,272.0,0.25,0.026389734976717625,14,1
Pantoea agglomerans,Raffinose,,0.25,0.0,15,0
Pseudomonas asiatica,Succinate,274.0,0.25,0.026361857120823496,0,1
Pseudomonas asiatica,Alanine,271.0,0.25,0.034345277315231744,1,1
Pseudomonas asiatica,Glutamine,268.0,0.25,0.028283139861880566,2,1
Pseudomonas asiatica,Proline,277.0,0.25,0.041355390843666504,3,1
Pseudomonas asiatica,Acetate,270.0,0.25,0.026881471024341155,4,1
Pseudomonas asiatica,Mannitol,273.0,0.25,0.034767483951225746,5,1
Pseudomonas asiatica,Citrate,259.0,0.25,0.021854963195655844,6,1
Pseudomonas asiatica,Glucose,268.0,0.25,0.033968568973711394,7,1
