metabolite,name,formula,carbon_atom
10fthf_c,10-Formyltetrahydrofolate,C20H21N7O7,Presence
12dgr120_c,"1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)",C27H52O5,Presence
12dgr140_c,"1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)",C31H60O5,Presence
12dgr140_p,"1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)",C31H60O5,Presence
12dgr141_c,"1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)",C31H56O5,Presence
12dgr141_p,"1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)",C31H56O5,Presence
12dgr160_c,"1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)",C35H68O5,Presence
12dgr160_p,"1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)",C35H68O5,Presence
12dgr161_c,"1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)",C35H64O5,Presence
12dgr161_p,"1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)",C35H64O5,Presence
12dgr180_c,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",C39H76O5,Presence
12dgr180_p,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",C39H76O5,Presence
12dgr181_c,"1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)",C39H72O5,Presence
12dgr181_p,"1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)",C39H72O5,Presence
12ppd__R_c,"(R)-Propane-1,2-diol",C3H8O2,Presence
12ppd__S_c,"(S)-Propane-1,2-diol",C3H8O2,Presence
13dampp_c,1 3 Diaminopropane C3H12N2,C3H12N2,Presence
13dpg_c,3-Phospho-D-glyceroyl phosphate,C3H4O10P2,Presence
13ppd_c,"1,3-Propanediol",C3H8O2,Presence
14dhncoa_c,"1,4-dihydroxy-2-napthoyl-CoA",C32H38N7O19P3S,Presence
14glucan_c,"1,4-alpha-D-glucan",C36H62O31,Presence
14glucan_e,"1,4-alpha-D-glucan",C36H62O31,Presence
14glucan_p,"1,4-alpha-D-glucan",C36H62O31,Presence
15dap_c,"1,5-Diaminopentane",C5H16N2,Presence
1agpe120_p,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0),C17H36NO7P,Presence
