reaction,metabolite,name,formula,carbon_atom
EX_14glucan_e,14glucan_e,"1,4-alpha-D-glucan",C36H62O31,Presence
EX_23camp_e,23camp_e,"2',3'-Cyclic AMP",C10H11N5O6P,Presence
EX_23ccmp_e,23ccmp_e,"2',3'-Cyclic CMP",C9H11N3O7P,Presence
EX_23cgmp_e,23cgmp_e,"2',3'-Cyclic GMP",C10H11N5O7P,Presence
EX_23cump_e,23cump_e,"2',3'-Cyclic UMP",C9H10N2O8P,Presence
EX_25dkglcn_e,25dkglcn_e,"2,5-diketo-D-gluconate",C6H7O7,Presence
EX_2pglyc_e,2pglyc_e,2-Phosphoglycolate,C2H2O6P,Presence
EX_3amp_e,3amp_e,3  AMP C10H12N5O7P,C10H12N5O7P,Presence
EX_3cmp_e,3cmp_e,3  CMP C9H12N3O8P,C9H12N3O8P,Presence
EX_3mb_e,3mb_e,3-Methylbutanoic acid,C5H9O2,Presence
EX_3ump_e,3ump_e,3  UMP C9H11N2O9P,C9H11N2O9P,Presence
EX_4abut_e,4abut_e,4-Aminobutanoate,C4H9NO2,Presence
EX_4hbald_e,4hbald_e,4-Hydroxybenzaldehyde,C7H6O2,Presence
EX_4hbz_e,4hbz_e,4-Hydroxybenzoate,C7H5O3,Presence
EX_4hoxpac_e,4hoxpac_e,4 Hydroxyphenylacetic acid C8H8O3,C8H7O3,Presence
EX_4hpro_LT_e,4hpro_LT_e,Trans 4 Hydroxy L proline C5H9NO3,C5H9NO3,Presence
EX_5drib_e,5drib_e,5'-deoxyribose,C5H10O4,Presence
EX_5mdru1p_e,5mdru1p_e,5-Methylthio-5-deoxy-D-ribulose 1-phosphate,C6H11O7PS,Presence
EX_6atha_e,6atha_e,6 acetylthiohexanoic acid,C2H,Presence
EX_LalaDgluMdapDala_e,LalaDgluMdapDala_e,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine",C18H30N5O9,Presence
EX_LalaDgluMdap_e,LalaDgluMdap_e,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate",C15H25N4O8,Presence
EX_LalaLglu_e,LalaLglu_e,L-alanine-L-glutamate,C8H13N2O5,Presence
EX_Larab_e,Larab_e,Alpha L Arabinan C15H24O12,C15H24O12,Presence
EX_Lcyst_e,Lcyst_e,L-Cysteate,C3H6NO5S,Presence
EX_R_3hpdeca_e,R_3hpdeca_e, 3 Hydroxy 10 phenyldecanoic acid,C16H17O3,Presence
EX_R_3hphpa_e,R_3hphpa_e, 3 Hydroxy 7 phenylheptanoic acid,C13H13O3,Presence
EX_R_3hpnona_e,R_3hpnona_e, 3 Hydroxy 9 phenylnonanoic acid,C15H15O3,Presence
EX_R_3hpocta_e,R_3hpocta_e, 3 Hydroxy 8 phenyloctanoic acid,C14H15O3,Presence
EX_ac_e,ac_e,Acetate,C2H3O2,Presence
EX_acald_e,acald_e,Acetaldehyde,C2H4O,Presence
EX_acgam_e,acgam_e,N-Acetyl-D-glucosamine,C8H15NO6,Presence
EX_acmana_e,acmana_e,N-Acetyl-D-mannosamine,C8H15NO6,Presence
EX_acnam_e,acnam_e,N-Acetylneuraminate,C11H18NO9,Presence
EX_acon_C_e,acon_C_e,Cis-Aconitate,C6H3O6,Presence
EX_actn__R_e,actn__R_e, R  Acetoin C4H8O2,C4H8O2,Presence
EX_adn_e,adn_e,Adenosine,C10H13N5O4,Presence
EX_agm_e,agm_e,Agmatine,C5H16N4,Presence
EX_akg_e,akg_e,2-Oxoglutarate,C5H4O5,Presence
EX_ala_L_asp__L_e,ala_L_asp__L_e,Ala L asp L C7H11N2O5,C7H11N2O5,Presence
EX_ala_L_glu__L_e,ala_L_glu__L_e,Ala L glu L C8H13N2O5,C8H13N2O5,Presence
EX_ala__L_e,ala__L_e,L-Alanine,C3H7NO2,Presence
EX_alahis_e,alahis_e,L alaninylhistidine,C9H14N4O3,Presence
EX_alaleu_e,alaleu_e,L alaninylleucine,C9H18N2O3,Presence
EX_alathr_e,alathr_e,L alaninylthreonine,C7H14N2O4,Presence
EX_alatrp_e,alatrp_e,L alaninyltryptophan,C14H17N3O3,Presence
