species,carbon,number_nzfmtb_ca,names,cs_flux,growth,theta_rank,growthability
Agrobacterium tumefaciens,Succinate,70.0,"Xanthosine 5'-phosphate;2-Deoxy-D-ribose 1-phosphate;2-Oxobutanoate;DADP C10H12N5O9P2;Selenocysteine;4-Amino-5-hydroxymethyl-2-methylpyrimidine;DCMP C9H12N3O7P;DUMP C9H11N2O8P;Adenosine;D-Ribose;Acetyl phosphate;All trans Decaprenyl diphosphate;Sedoheptulose 7-phosphate;Palmitoyl-CoA (n-C16:0CoA);5,6-dihydrouracil;Glycerol 3-phosphate;Oxaloacetate;Glyoxylate;3-(Imidazol-4-yl)-2-oxopropyl phosphate;Ubiquinol-8;O-Acetyl-L-serine;Uracil;Adenosine 5'-phosphosulfate;Deoxyuridine;2-Aminomalonate semialdehyde;GMP C10H12N5O8P;Glutaredoxin (oxidized);N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide;Glutaredoxin (reduced);N-Carbamoyl-beta-alanine;D-Serine;Carbonic acid;2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0);Isocitrate;3-(4-Hydroxyphenyl)pyruvate;Glycolate C2H3O3;Adenine;S-Adenosyl-L-homocysteine;Reduced thioredoxin;L-Glutamate 5-semialdehyde;Acetyl-adenylate;Phosphatidylglycerol (dihexadecanoyl, n-C16:0);(S)-2-Aceto-2-hydroxybutanoate;L-Cystathionine;Aminoacetaldehyde;2 5 Diamino 6 hydroxy 4  5  phosphoribosylamino  pyrimidine C9H14N5O8P;FMN C17H19N4O9P;Cytosine;Thymidine C10H14N2O5;DGDP C10H12N5O10P2;Acetate;D-Xylulose 5-phosphate;N1-(5-Phospho-D-ribosyl)glycinamide;Ubiquinone-8;5,10-Methenyltetrahydrofolate;Reduced glutathione;CDP C9H12N3O11P2;O-Succinyl-L-homoserine;L-Malate;L-Glutamate 5-phosphate;Deoxycytidine;Hexadecanoate (n-C16:0);Thymine C5H6N2O2;Oxidized thioredoxin;Oxidized glutathione;Cytidine;D-Fructose 1,6-bisphosphate;5-Methylcytosine;O Acetyl L homoserine C6H11NO4;Alpha-D-Ribose 1-phosphate",0.25,0.03637933591613374,0,1
Agrobacterium tumefaciens,Alanine,69.0,"Xanthosine 5'-phosphate;2-Deoxy-D-ribose 1-phosphate;2-Oxobutanoate;DADP C10H12N5O9P2;4-Amino-5-hydroxymethyl-2-methylpyrimidine;DCMP C9H12N3O7P;Adenosine;D-Ribose;Acetyl phosphate;All trans Decaprenyl diphosphate;Sedoheptulose 7-phosphate;5,6-dihydrouracil;Glycerol 3-phosphate;Oxaloacetate;Glyoxylate;3-(Imidazol-4-yl)-2-oxopropyl phosphate;Ubiquinol-8;O-Acetyl-L-serine;DITP(4-);Uracil;Adenosine 5'-phosphosulfate;O-Phospho-4-hydroxy-L-threonine;Deoxyuridine;GMP C10H12N5O8P;N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide;N-Carbamoyl-beta-alanine;Carbonic acid;Citrate;Isocitrate;3-(4-Hydroxyphenyl)pyruvate;Glycolate C2H3O3;Adenine;S-Adenosyl-L-homocysteine;Menaquinone 7 C46H64O2;Reduced thioredoxin;L-Glutamate 5-semialdehyde;(S)-2-Aceto-2-hydroxybutanoate;DIMP C10H12N4O7P;3-Phosphohydroxypyruvate;Hypoxanthine;2 5 Diamino 6 hydroxy 4  5  phosphoribosylamino  pyrimidine C9H14N5O8P;FMN C17H19N4O9P;Cytosine;4-Hydroxy-L-threonine;Menaquinol 7 C46H66O2;Thymidine C10H14N2O5;Reduced FMN;DGDP C10H12N5O10P2;Acetate;O-Phospho-L-serine;Deoxyinosine;D-Xylulose 5-phosphate;2-Demethylmenaquinol 8;N1-(5-Phospho-D-ribosyl)glycinamide;Ubiquinone-8;5,10-Methenyltetrahydrofolate;CDP C9H12N3O11P2;O-Succinyl-L-homoserine;L-Glutamate 5-phosphate;Xanthine;Deoxycytidine;Thymine C5H6N2O2;Oxidized thioredoxin;Pyridoxine 5'-phosphate;Cytidine;D-Fructose 1,6-bisphosphate;5-Methylcytosine;Fe(III)dicitrate;Alpha-D-Ribose 1-phosphate",0.25,0.03554733572611116,1,1
Agrobacterium tumefaciens,Glutamine,75.0,"Xanthosine 5'-phosphate;2-Deoxy-D-ribose 1-phosphate;2-Oxobutanoate;DADP C10H12N5O9P2;4-Amino-5-hydroxymethyl-2-methylpyrimidine;DCMP C9H12N3O7P;3-Ureidoisobutyrate;Adenosine;D-Ribose;Acetyl phosphate;All trans Decaprenyl diphosphate;Sedoheptulose 7-phosphate;5,6-dihydrouracil;Glycerol 3-phosphate;Oxaloacetate;3-(Imidazol-4-yl)-2-oxopropyl phosphate;Methylisocitrate;Ubiquinol-8;O-Acetyl-L-serine;Uracil;Adenosine 5'-phosphosulfate;O-Phospho-4-hydroxy-L-threonine;Deoxyuridine;GMP C10H12N5O8P;Cis-2-Methylaconitate;N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide;3-Aminoacrylate;N-Carbamoyl-beta-alanine;Carbonic acid;Citrate;Isocitrate;3-(4-Hydroxyphenyl)pyruvate;Adenine;S-Adenosyl-L-homocysteine;Menaquinone 7 C46H64O2;Propanoyl-CoA;(S)-Methylmalonate semialdehyde;Reduced thioredoxin;L-Glutamate 5-semialdehyde;(S)-2-Aceto-2-hydroxybutanoate;3-Phosphohydroxypyruvate;2 5 Diamino 6 hydroxy 4  5  phosphoribosylamino  pyrimidine C9H14N5O8P;FMN C17H19N4O9P;Cytosine;4-Hydroxy-L-threonine;Malonate semialdehyde;Menaquinol 7 C46H66O2;Thymidine C10H14N2O5;DGDP C10H12N5O10P2;2-Methylcitrate;Ureidoacrylate peracid;Acetate;O-Phospho-L-serine;Reduced FMN;D-Xylulose 5-phosphate;2-Demethylmenaquinol 8;N1-(5-Phospho-D-ribosyl)glycinamide;D-Fructose 1,6-bisphosphate;Ubiquinone-8;5,10-Methenyltetrahydrofolate;L-3-Amino-isobutanoate;CDP C9H12N3O11P2;O-Succinyl-L-homoserine;L-Glutamate 5-phosphate;Deoxycytidine;Thymine C5H6N2O2;5,6-Dihydrothymine;Carbamate;Pyridoxine 5'-phosphate;Cytidine;Oxidized thioredoxin;5-Methylcytosine;Fe(III)dicitrate;Peroxyaminoacrylate;Alpha-D-Ribose 1-phosphate",0.25,0.036117332008567676,2,0
Agrobacterium tumefaciens,Proline,88.0,"2-Deoxy-D-ribose 1-phosphate;DADP C10H12N5O9P2;Acetaldehyde;Acetyl phosphate;Sedoheptulose 7-phosphate;Glycerol 3-phosphate;Oxaloacetate;Glyoxylate;Reduced pyrroloquinoline-quinone;O-Phospho-4-hydroxy-L-threonine;N-Carbamoyl-beta-alanine;Glutaredoxin (reduced);Succinic semialdehyde;2 5 Diamino 6 hydroxy 4  5  phosphoribosylamino  pyrimidine C9H14N5O8P;DGDP C10H12N5O10P2;2-Deoxy-D-ribose 5-phosphate;3'-Phosphoadenylyl sulfate;FMN C17H19N4O9P;5-Methylcytosine;2-(alpha-Hydroxyethyl)thiamine diphosphate;Xanthosine 5'-phosphate;Quinate;Adenosine;Pyrroloquinoline-quinone;3-(Imidazol-4-yl)-2-oxopropyl phosphate;Adenosine 5'-phosphosulfate;Glutaryl-CoA mitochondria;N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide;Carbonic acid;Isocitrate;Glycolate C2H3O3;4-Aminobutanal;(S)-2-Aceto-2-hydroxybutanoate;4-Hydroxy-L-threonine;Acetate;O-Phospho-L-serine;Reduced glutathione;CDP C9H12N3O11P2;L-Malate;Cytidine;All trans Decaprenyl diphosphate;2-Oxobutanoate;DCMP C9H12N3O7P;Carboxymycobactin T (R=8 carbon, final carbon is carboxyl group);D-Ribose;5,6-dihydrouracil;Ubiquinol-8;O-Acetyl-L-serine;4-Aminobutanoate;Citrate;Crotonoyl-CoA;S-Adenosyl-L-homocysteine;Putrescine;Cytosine;Menaquinol 7 C46H66O2;Thymidine C10H14N2O5;D-Xylulose 5-phosphate;Ubiquinone-8;Xanthine;Thymine C5H6N2O2;O Acetyl L homoserine C6H11NO4;Pyridoxine 5'-phosphate;Oxidized glutathione;Selenocysteine;Uracil;Deoxyuridine;GMP C10H12N5O8P;Inosine;Glutaredoxin (oxidized);3-(4-Hydroxyphenyl)pyruvate;DAMP C10H12N5O6P;Menaquinone 7 C46H64O2;Reduced thioredoxin;Iron(III) chelated carboxymycobactin T (R=8 carbon, final carbon is carboxyl group);L-Cystathionine;3-Phosphohydroxypyruvate;Hypoxanthine;Adenosine 3',5'-bisphosphate;Octanoyl-CoA (n-C8:0CoA);Indolepyruvate C11H8NO3;Flavin adenine dinucleotide reduced;N1-(5-Phospho-D-ribosyl)glycinamide;5,10-Methenyltetrahydrofolate;O-Succinyl-L-homoserine;Trans-Oct-2-enoyl-CoA;Deoxycytidine;Oxidized thioredoxin;D-Fructose 1,6-bisphosphate",0.25,0.04584545209530143,3,0
Agrobacterium tumefaciens,Acetate,83.0,"2-Deoxy-D-ribose 1-phosphate;DADP C10H12N5O9P2;Acetyl phosphate;Sedoheptulose 7-phosphate;(R)-3-Hydroxydodecanoyl-CoA;Glycerol 3-phosphate;Oxaloacetate;Glyoxylate;O-Phospho-4-hydroxy-L-threonine;N-Carbamoyl-beta-alanine;Glutaredoxin (reduced);Adenine;2 5 Diamino 6 hydroxy 4  5  phosphoribosylamino  pyrimidine C9H14N5O8P;Malonate semialdehyde;Uridine;DGDP C10H12N5O10P2;3-Oxododecanoyl-CoA;2-Demethylmenaquinol 8;FMN C17H19N4O9P;5-Methylcytosine;Xanthosine 5'-phosphate;4-Amino-5-hydroxymethyl-2-methylpyrimidine;3-(Imidazol-4-yl)-2-oxopropyl phosphate;Deoxyadenosine;Adenosine 5'-phosphosulfate;N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide;D-Serine;Carbonic acid;Isocitrate;Glycolate C2H3O3;(S)-2-Aceto-2-hydroxybutanoate;4-Hydroxy-L-threonine;Acetoacetyl-CoA;O-Phospho-L-serine;Deoxyinosine;Trans-Hex-2-enoyl-CoA;Reduced glutathione;CDP C9H12N3O11P2;L-Malate;Cytidine;All trans Decaprenyl diphosphate;2-Oxobutanoate;Carboxymycobactin T (R=8 carbon, final carbon is carboxyl group);D-Ribose;5,6-dihydrouracil;Ubiquinol-8;O-Acetyl-L-serine;Trans-Dodec-2-enoyl-CoA;Citrate;S-Adenosyl-L-homocysteine;Aminoacetaldehyde;Cytosine;Menaquinol 7 C46H66O2;Thymidine C10H14N2O5;D-Xylulose 5-phosphate;Ubiquinone-8;L-Glutamate 5-phosphate;Xanthine;Thymine C5H6N2O2;Pyridoxine 5'-phosphate;Oxidized glutathione;Uracil;2-Aminomalonate semialdehyde;GMP C10H12N5O8P;Glutaredoxin (oxidized);Acetoacetate;3-(4-Hydroxyphenyl)pyruvate;DAMP C10H12N5O6P;Menaquinone 7 C46H64O2;Reduced thioredoxin;Iron(III) chelated carboxymycobactin T (R=8 carbon, final carbon is carboxyl group);L-Glutamate 5-semialdehyde;3-Phosphohydroxypyruvate;Hypoxanthine;(S)-3-Hydroxydodecanoyl-CoA;Indolepyruvate C11H8NO3;N1-(5-Phospho-D-ribosyl)glycinamide;5,10-Methenyltetrahydrofolate;S-Ribosyl-L-homocysteine;O-Succinyl-L-homoserine;Oxidized thioredoxin;D-Fructose 1,6-bisphosphate;Hexanoyl-CoA (n-C6:0CoA)",0.25,0.03576007384642332,4,1
Agrobacterium tumefaciens,Mannitol,97.0,"DADP C10H12N5O9P2;4-Hydroxy-2-oxopentanoate;Acetaldehyde;Acetyl phosphate;Sedoheptulose 7-phosphate;(R)-3-Hydroxydodecanoyl-CoA;Glycerol 3-phosphate;Oxaloacetate;Glyoxylate;O-Phospho-4-hydroxy-L-threonine;Pyridoxamine 5'-phosphate;Glutaredoxin (reduced);3-Oxoadipyl-CoA;Pyridoxine;Succinic semialdehyde;2 5 Diamino 6 hydroxy 4  5  phosphoribosylamino  pyrimidine C9H14N5O8P;Malonate semialdehyde;Pyridoxamine;DGDP C10H12N5O10P2;3-Oxododecanoyl-CoA;2-Demethylmenaquinol 8;2-Oxopent-4-enoate;FMN C17H19N4O9P;(R)-S-Lactoylglutathione;3,4-Dihydroxybenzoate;Xanthosine 5'-phosphate;N2-Acetyl-L-ornithine;N-Acetyl-L-glutamate 5-semialdehyde;Adenosine;3-(Imidazol-4-yl)-2-oxopropyl phosphate;Adenosine 5'-phosphosulfate;Glutaryl-CoA mitochondria;N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide;Carbonic acid;Methylglyoxal;(S)-2-Aceto-2-hydroxybutanoate;D-Lactate;4-Hydroxy-L-threonine;Acetate;O-Phospho-L-serine;Trans-Hex-2-enoyl-CoA;Reduced glutathione;CDP C9H12N3O11P2;L-Malate;Pyridoxal;N-Acetyl-L-glutamyl 5-phosphate;5-Oxo-4,5-dihydrofuran-2-acetate;D-Glycerate 2-phosphate;All trans Decaprenyl diphosphate;N-Acetyl-L-glutamate;2-Hydroxyhepta-2-4-dienedioate;4-Hydroxyphenylacetaldehyde;2-Oxobutanoate;DCMP C9H12N3O7P;Carboxymycobactin T (R=8 carbon, final carbon is carboxyl group);DUMP C9H11N2O8P;O-Acetyl-L-serine;Formamide;Trans-Dodec-2-enoyl-CoA;Crotonoyl-CoA;4-Imidazolone-5-propanoate;S-Adenosyl-L-homocysteine;Cis,cis-Butadiene-1,2,4-tricarboxylate;Menaquinol 7 C46H66O2;Catechol;2-Hydroxy-5-carboxymethylmuconate-Semialdehyde;D-Xylulose 5-phosphate;3-4-Dihydroxyphenylacetate;O Acetyl L homoserine C6H11NO4;Pyridoxine 5'-phosphate;Oxidized glutathione;N-Formimino-L-glutamate;Cis-1,2-Dihydroxycyclohexa-3,5-diene-1-carboxylate;3-Phospho-D-glycerate;5-Carboxymethyl-2-hydroxymuconate;GMP C10H12N5O8P;3-Oxoadipate;4-Hydroxyphenylacetate;Glutaredoxin (oxidized);3-(4-Hydroxyphenyl)pyruvate;Menaquinone 7 C46H64O2;Reduced thioredoxin;Iron(III) chelated carboxymycobactin T (R=8 carbon, final carbon is carboxyl group);3-Phosphohydroxypyruvate;5-Carboxy-2-oxohept-3-enedioate;(S)-3-Hydroxydodecanoyl-CoA;Indolepyruvate C11H8NO3;Urocanate C6H5N2O2;Flavin adenine dinucleotide reduced;N1-(5-Phospho-D-ribosyl)glycinamide;5,10-Methenyltetrahydrofolate;O-Succinyl-L-homoserine;4-Carboxymuconolactone;2,4-Dihydroxyhept-2-enedioate;Oxidized thioredoxin;2-Hydroxymuconate semialdehyde;Hexanoyl-CoA (n-C6:0CoA)",0.25,0.034768755995380554,5,1
Agrobacterium tumefaciens,Citrate,100.0,"2-Deoxy-D-ribose 1-phosphate;DADP C10H12N5O9P2;Acetaldehyde;DGMP C10H12N5O7P;Hydroxy ethyl Thiamin diphosphate;Sedoheptulose 7-phosphate;Glycerol 3-phosphate;Glycerophosphoglycerol;Oxaloacetate;Glyoxylate;Cys Gly C5H10N2O3S;Guanine;O-Phospho-4-hydroxy-L-threonine;Dihydrolipoamide C8H17NOS2;Adenine;D-Galactose 6-phosphate;Succinic semialdehyde;2 5 Diamino 6 hydroxy 4  5  phosphoribosylamino  pyrimidine C9H14N5O8P;Malonate semialdehyde;DGDP C10H12N5O10P2;(R)-3-Hydroxybutyryl-CoA;Lipoamide C8H15NOS2;2-Demethylmenaquinol 8;Gamma-L-Glutamyl-L-cysteine;CDP-1,2-dihexadec-9-enoylglycerol;3'-Phosphoadenylyl sulfate;FMN C17H19N4O9P;2-(alpha-Hydroxyethyl)thiamine diphosphate;Alpha-D-Ribose 1-phosphate;Xanthosine 5'-phosphate;Adenosine;Cis-hexadec-9-enoyl-[acyl-carrier protein] (n-C16:1);3-(Imidazol-4-yl)-2-oxopropyl phosphate;Adenosine 5'-phosphosulfate;1-hexadec-9-enoyl-sn-glycerol 3-phosphate;N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide;Carbonic acid;Isocitrate;4 Guanidinobutanoate C5H11N3O2;Glycolate C2H3O3;(S)-2-Aceto-2-hydroxybutanoate;4-Hydroxy-L-threonine;D-Galactose;Acetoacetyl-CoA;Acetate;O-Phospho-L-serine;Reduced glutathione;CDP C9H12N3O11P2;Acyl carrier protein;L-Malate;Cytidine;All trans Decaprenyl diphosphate;2-Oxobutanoate;Hexadecenoyl-CoA (n-C16:1CoA);1,2-dihexadec-9-enoyl-sn-glycerol 3-phosphate;Carboxymycobactin T (R=8 carbon, final carbon is carboxyl group);DUMP C9H11N2O8P;D-Ribose;(R)-3-Hydroxybutanoate;Ubiquinol-8;4-Guanidinobutanal;4-Aminobutanoate;S-Adenosyl-L-homocysteine;Urea CH4N2O;Cytosine;Menaquinol 7 C46H66O2;Glycerol;D-Xylulose 5-phosphate;Ubiquinone-8;S Succinyldihydrolipoamide C12H20NO4S2;2-Oxoarginine;L-Glutamate 5-phosphate;Phosphatidylglycerophosphate (dihexadec-9-enoyl, n-C16:1);O Acetyl L homoserine C6H11NO4;Pyridoxine 5'-phosphate;Deoxyguanosine;Hexadecenoate (n-C16:1);Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1);Uracil;Deoxyuridine;GMP C10H12N5O8P;Inosine;Acetoacetate;3-(4-Hydroxyphenyl)pyruvate;Menaquinone 7 C46H64O2;Reduced thioredoxin;Iron(III) chelated carboxymycobactin T (R=8 carbon, final carbon is carboxyl group);L-Glutamate 5-semialdehyde;L-Cystathionine;3-Phosphohydroxypyruvate;Hypoxanthine;Adenosine 3',5'-bisphosphate;Octanoyl-CoA (n-C8:0CoA);2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1);Indolepyruvate C11H8NO3;N1-(5-Phospho-D-ribosyl)glycinamide;S-Ribosyl-L-homocysteine;Trans-Oct-2-enoyl-CoA;Oxidized thioredoxin;D-Fructose 1,6-bisphosphate",0.25,0.033490325287528204,6,0
Agrobacterium tumefaciens,Glucose,87.0,"2-Deoxy-D-ribose 1-phosphate;DADP C10H12N5O9P2;DUTP C9H11N2O14P3;Acetaldehyde;Acetyl phosphate;Sedoheptulose 7-phosphate;Glycerol 3-phosphate;Oxaloacetate;Glyoxylate;Reduced pyrroloquinoline-quinone;Dihydrolipoamide C8H17NOS2;N-Carbamoyl-beta-alanine;Propionyladenylate;2 5 Diamino 6 hydroxy 4  5  phosphoribosylamino  pyrimidine C9H14N5O8P;DGDP C10H12N5O10P2;Lipoamide C8H15NOS2;2-Demethylmenaquinol 8;2-Deoxy-D-ribose 5-phosphate;FMN C17H19N4O9P;5-Methylcytosine;2-(alpha-Hydroxyethyl)thiamine diphosphate;Xanthosine 5'-phosphate;Quinate;Adenosine;Pyrroloquinoline-quinone;3-(Imidazol-4-yl)-2-oxopropyl phosphate;Deoxyadenosine;Adenosine 5'-phosphosulfate;N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide;D-Serine;Carbonic acid;Glycolate C2H3O3;Propanoyl-CoA;(S)-2-Aceto-2-hydroxybutanoate;Acetate;O-Phospho-L-serine;Menaquinone 8;Deoxyinosine;CDP C9H12N3O11P2;L-Malate;Cytidine;D-Glycerate 2-phosphate;All trans Decaprenyl diphosphate;L-Arogenate;2-Oxobutanoate;N-Formyl-L-glutamate;DUMP C9H11N2O8P;D-Ribose;5,6-dihydrouracil;Ubiquinol-8;O-Acetyl-L-serine;DUDP C9H11N2O11P2;4-Imidazolone-5-propanoate;S-Adenosyl-L-homocysteine;Aminoacetaldehyde;Cytosine;Menaquinol 7 C46H66O2;Thymidine C10H14N2O5;D-Xylulose 5-phosphate;Ubiquinone-8;N-Formimidoyl-L-glutamate;D-Mannose;S Succinyldihydrolipoamide C12H20NO4S2;L-Glutamate 5-phosphate;Thymine C5H6N2O2;Hydroxypyruvate;O Acetyl L homoserine C6H11NO4;3-Phospho-D-glycerate;D-Mannitol;Uracil;D-Fructose;Deoxyuridine;2-Aminomalonate semialdehyde;GMP C10H12N5O8P;Propionate (n-C3:0);3-(4-Hydroxyphenyl)pyruvate;DAMP C10H12N5O6P;Menaquinone 7 C46H64O2;Reduced thioredoxin;L-Glutamate 5-semialdehyde;3-Phosphohydroxypyruvate;Hypoxanthine;Urocanate C6H5N2O2;N1-(5-Phospho-D-ribosyl)glycinamide;5,10-Methenyltetrahydrofolate;Oxidized thioredoxin;D-Fructose 1,6-bisphosphate",0.25,0.03515744288105008,7,1
Agrobacterium tumefaciens,Ribose,113.0,"2-Deoxy-D-ribose 1-phosphate;DADP C10H12N5O9P2;DGMP C10H12N5O7P;Acetaldehyde;Acetyl phosphate;Hydroxy ethyl Thiamin diphosphate;Sedoheptulose 7-phosphate;Dodecanoate (n-C12:0);Glycerol 3-phosphate;Glycerophosphoglycerol;Oxaloacetate;(S)-Methylmalonyl-CoA;Glyoxylate;Reduced pyrroloquinoline-quinone;Guanine;O-Phospho-4-hydroxy-L-threonine;CDP-1,2-didodecanoylglycerol;1,2-didodecanoyl-sn-glycerol 3-phosphate;Cis-2-Methylaconitate;N-Carbamoyl-beta-alanine;Glutaredoxin (reduced);3-Oxoadipyl-CoA;1-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0);D-Galactose 6-phosphate;Propionyladenylate;Phosphatidylglycerol (didodecanoyl, n-C12:0);2 5 Diamino 6 hydroxy 4  5  phosphoribosylamino  pyrimidine C9H14N5O8P;Malonate semialdehyde;DGDP C10H12N5O10P2;2-Methylcitrate;(R)-3-Hydroxybutyryl-CoA;1-dodecanoyl-sn-glycerol 3-phosphate;2-Deoxy-D-ribose 5-phosphate;FMN C17H19N4O9P;2-(alpha-Hydroxyethyl)thiamine diphosphate;Alpha-D-Ribose 1-phosphate;3,4-Dihydroxybenzoate;Xanthosine 5'-phosphate;N2-Acetyl-L-ornithine;Quinate;Dodecanoyl-ACP (n-C12:0ACP);N-Acetyl-L-glutamate 5-semialdehyde;4-Amino-5-hydroxymethyl-2-methylpyrimidine;Adenosine;Pyrroloquinoline-quinone;Dodecanoyl-CoA (n-C12:0CoA);3-(Imidazol-4-yl)-2-oxopropyl phosphate;Methylisocitrate;Deoxyadenosine;Adenosine 5'-phosphosulfate;Guanosine;N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide;D-Serine;Carbonic acid;Isocitrate;Propanoyl-CoA;(S)-2-Aceto-2-hydroxybutanoate;4-Hydroxy-L-threonine;(R)-Glycerate;D-Galactose;Acetoacetyl-CoA;Acetate;Deoxyinosine;D-Glyceraldehyde;Reduced glutathione;CDP C9H12N3O11P2;Acyl carrier protein;L-Malate;N-Acetyl-L-glutamyl 5-phosphate;5-Oxo-4,5-dihydrofuran-2-acetate;2-Hydroxy-3-oxopropanoate;All trans Decaprenyl diphosphate;N-Acetyl-L-glutamate;L-Arogenate;2-Oxobutanoate;DCMP C9H12N3O7P;Carboxymycobactin T (R=8 carbon, final carbon is carboxyl group);DUMP C9H11N2O8P;(R)-3-Hydroxybutanoate;5,6-dihydrouracil;Phosphatidylglycerophosphate (didodecanoyl, n-C12:0);Citrate;S-Adenosyl-L-homocysteine;Cis,cis-Butadiene-1,2,4-tricarboxylate;Aminoacetaldehyde;Menaquinol 7 C46H66O2;Glycerol;D-Xylulose 5-phosphate;Hydroxypyruvate;O Acetyl L homoserine C6H11NO4;Oxidized glutathione;Pyridoxine 5'-phosphate;Deoxyguanosine;XTP;Uracil;Deoxyuridine;2-Aminomalonate semialdehyde;GMP C10H12N5O8P;3-Oxoadipate;Glutaredoxin (oxidized);Acetoacetate;Propionate (n-C3:0);3-(4-Hydroxyphenyl)pyruvate;DAMP C10H12N5O6P;Menaquinone 7 C46H64O2;Reduced thioredoxin;Iron(III) chelated carboxymycobactin T (R=8 carbon, final carbon is carboxyl group);L-Cystathionine;Hypoxanthine;N1-(5-Phospho-D-ribosyl)glycinamide;5,10-Methenyltetrahydrofolate;4-Carboxymuconolactone;Oxidized thioredoxin",0.25,0.03515744288105028,8,1
Agrobacterium tumefaciens,Glycerol,78.0,"DADP C10H12N5O9P2;Acetaldehyde;Acetyl phosphate;Sedoheptulose 7-phosphate;Glycerol 3-phosphate;Glyoxylate;Oxaloacetate;(R)-3-hydroxytetradecanoyl-coa;L-Allo-threonine;Glutaredoxin (reduced);Propionyladenylate;2 5 Diamino 6 hydroxy 4  5  phosphoribosylamino  pyrimidine C9H14N5O8P;Malonate semialdehyde;DGDP C10H12N5O10P2;2-Demethylmenaquinol 8;FMN C17H19N4O9P;2-(alpha-Hydroxyethyl)thiamine diphosphate;(S)-3-Hydroxytetradecanoyl-CoA;Xanthosine 5'-phosphate;Adenosine;Trans-Tetradec-2-enoyl-CoA;3-(Imidazol-4-yl)-2-oxopropyl phosphate;Adenosine 5'-phosphosulfate;Glutaryl-CoA mitochondria;N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide;D-Serine;Carbonic acid;Glycolate C2H3O3;Propanoyl-CoA;(S)-2-Aceto-2-hydroxybutanoate;D-Fructose 1-phosphate;Acetate;O-Phospho-L-serine;D-Glyceraldehyde;Reduced glutathione;CDP C9H12N3O11P2;L-Malate;3-Oxotetradecanoyl-CoA;All trans Decaprenyl diphosphate;2-Oxobutanoate;3-Phospho-D-glyceroyl phosphate;DCMP C9H12N3O7P;Carboxymycobactin T (R=8 carbon, final carbon is carboxyl group);DUMP C9H11N2O8P;Ubiquinol-8;O-Acetyl-L-serine;Crotonoyl-CoA;S-Adenosyl-L-homocysteine;Aminoacetaldehyde;Menaquinol 7 C46H66O2;D-Xylulose 5-phosphate;Ubiquinone-8;L-Glutamate 5-phosphate;O Acetyl L homoserine C6H11NO4;Oxidized glutathione;3-Phospho-D-glycerate;6-phospho-D-glucono-1,5-lactone;D-Fructose;2-Aminomalonate semialdehyde;GMP C10H12N5O8P;Glutaredoxin (oxidized);Propionate (n-C3:0);3-(4-Hydroxyphenyl)pyruvate;Menaquinone 7 C46H64O2;Reduced thioredoxin;Iron(III) chelated carboxymycobactin T (R=8 carbon, final carbon is carboxyl group);L-Glutamate 5-semialdehyde;Beta D glucose 6 phosphate C6H11O9P;3-Phosphohydroxypyruvate;6-Phospho-D-gluconate;Indolepyruvate C11H8NO3;N1-(5-Phospho-D-ribosyl)glycinamide;Flavin adenine dinucleotide reduced;L-2-Amino-3-oxobutanoate;5,10-Methenyltetrahydrofolate;O-Succinyl-L-homoserine;Oxidized thioredoxin;D-Fructose 1,6-bisphosphate",0.25,0.034387889869692,9,1
